Full Combat Rebalance 2
  The Witcher 2 Mod



=============== READ THIS ===============

List of strings that were changed in FCR2 mod.
You can use RedStrings tool included with Redkit editor or fan made applications called Red Tools to localize the mod to your language.

 - Andrzej Kwiatkowski



FCR2 v1.1
String		Description
=========================================

28230		Highly potent Igni Sign creates a wave of superheated air that burns enemies.&lt;br&gt;Sign damage: +10.
28232		Quen shield reflects part of attack's force back on 3 enemies in close proximity.&lt;br&gt;Sign shield deflects 20% damage.&lt;br&gt;Press and hold PARRY button to sustain Quen shield.
28224		Witcher uses a Quen Sign to redirect the force of enemy attacks.&lt;br&gt;Press and hold PARRY button to sustain Quen shield.
28226		Yrden Sign glyphs cause shock damage in addition to paralysing effect.&lt;br&gt;Sign damage: 3/s.
28227		Aard's kinetic blast is so violent that it damages and sometimes stuns enemies.&lt;br&gt;Critical effect chance: stun: +10%.&lt;br&gt;Sign damage: +5.
28234		Extensive knowledge of Sign techniques adds a chance for critical effects.&lt;br&gt;Critical effect chance: incineration: +30%.&lt;br&gt;Critical effect chance: stun: +10%.
28231		Highly proficient Axii users can charm enemies nearly instantly.&lt;br&gt;Sign channeling duration: 0.4s.
28233		Witchers specializing in Signs can use these simple spells with surprisingly devastating effect.&lt;br&gt;Signs intensity: +50%.&lt;br&gt;Signs intensity increases Signs base damage and duration of critical effects.
28235		Geralt has learned to use his medallion to expose weaknesses of enemies.&lt;br&gt;Using medallion lowers enemy resistances by 30%.&lt;br&gt;Lowest resistance is shown in form of an aura.
28236		Raging witcher is a terrifying sight to behold. Some have even been seen tirelessly obliberating whole groups of enemies with Signs.&lt;br&gt;Upon activation of Rage witcher regenerates Vigor nearly instantly.&lt;br&gt; Effect duration: 10s.&lt;br&gt;Allows the generation of Adrenaline through Signs.
28832		After years of training it is a second nature for a witcher to instinctively block incoming attacks.&lt;br&gt;Witcher automatically parries all sword attacks when not performing an offensive action.&lt;br&gt;Base parry chance: 100%.&lt;br&gt;Fatigue penalty: 5% per number of parried attacks.&lt;br&gt;Fatigue penalty duration: 2s.&lt;br&gt;Back attack penalty: 10%.&lt;br&gt;Back attack penalty while moving: 100%.
28835		A quick parade with a counterattack allows to catch most enemies off guard.&lt;br&gt;Geralt blocks the attack of countered enemy only.&lt;br&gt;Enemy chance to parry counterattack: -30%.
28836		A witcher with constant access to elixirs can keep reaction time at even lower levels.&lt;br&gt;Parry cooldown limited only by performed action duration.
28843		During combat witcher enters a state of mind that allows him to shrug off incoming hits.&lt;br&gt;Decreased hit reaction severity.&lt;br&gt;Witcher is less likely to be knocked down.
28903		Every witcher school has its own secret alchemical recipies, mutatation procedures and fighting styles.&lt;br&gt;Unlocks recipies to advanced witcher alchemy.
28909		Mutagens can catalyze additional witcher specific mutations.&lt;br&gt;Skill effect dependent on inserted mutagen.
28910		Mutagens can catalyze additional witcher specific mutations.&lt;br&gt;Skill effect dependent on inserted mutagen.
28911		Mutagens can catalyze additional witcher specific mutations.&lt;br&gt;Skill effect dependent on inserted mutagen.
28914		Skillful preparation of trophies allows to retain the magic that brought some of the monsters to life. Or maybe decomposing monster bodyparts just demoralize the enemies.&lt;br&gt;Trophies provide significant stat bonuses.
